Location,City,State,Country,CountryCode,Locality,LocalityGeneral,LocalitySpecific,LocalityType,GPSAltitude,GPSAltitudeRef,GPSDestBearing,GPSDestBearingRef,GPSDOP,GPSHPositioningError,GPSImgDirection,GPSImgDirectionRef,GPSLatitude,GPSLatitudeRef,GPSLongitude,GPSLongitudeRef,GPSMapDatum,GPSProcessingMethod,GPSSpeed,GPSSpeedRef,GPSTimeStamp,GPSVersionID,Threshold,Show on Map
-,Bridgwater,Southwest England,England,GBR,-,-,-,-,-,-,-,-,-,-,-,-,51.13,N,-3,W,-,-,-,-,-,-,5000,Show on Map
-,Bristol,Southwest England,England,GBR,-,-,-,-,-,-,-,-,-,-,-,-,51.48,N,-2.63,W,-,-,-,-,-,-,5000,Show on Map
-,Chilliwack,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.17,N,-121.95,W,-,-,-,-,-,-,5000,Show on Map
-,Vernon,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,50.27,N,-119.27,W,-,-,-,-,-,-,5000,Show on Map
-,Vancouver,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.26,N,-123.11,W,-,-,-,-,-,-,5000,Show on Map
-,Sonora Island,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,50.37,N,-125.24,W,-,-,-,-,-,-,5000,Show on Map
-,Culross,Manitoba,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.71,N,-97.91,W,-,-,-,-,-,-,5000,Show on Map
-,Mission,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.16,N,-122.28,W,-,-,-,-,-,-,5000,Show on Map
-,New Westminster,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.21,N,-122.91,W,-,-,-,-,-,-,5000,Show on Map
-,Thurston Bay,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,50.37,N,-125.32,W,-,-,-,-,-,-,5000,Show on Map
-,Truro,Nova Scotia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,45.37,N,-63.3,W,-,-,-,-,-,-,5000,Show on Map
-,Salt Spring Island,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,48.83,N,-123.52,W,-,-,-,-,-,-,5000,Show on Map
-,Squamish,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.7,N,-123.16,W,-,-,-,-,-,-,5000,Show on Map
-,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,48.43,N,-123.36,W,-,-,-,-,-,-,5000,Show on Map
-,Haida Gwaii,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,52.69,N,-131.89,W,-,-,-,-,-,-,5000,Show on Map
